,Population,Region ID,Region Name
1352,3248,24850, Mitchell
1353,1979,24970, Monash
1355,130,25620, Murrindindi
1372,1794,25250, Moreland
1375,118,25990, Pyrenees
1376,331,26170, South Gippsland
1381,1484,26980, Whitehorse
1383,1358,27260, Wyndham
1384,1916,27450, Yarra Ranges
1389,93,21270, Buloke
1399,935,24600, Melbourne
1402,181,25430, Mount Alexander
1405,322,26670, Towong
1407,1924,26730, Warrnambool
1408,594,26810, Wellington
1410,14,29399, Unincorporated Vic
1411,66,29499, No usual address (Vic.)
1412,646,20740, Bass Coast
1414,461,21370, Campaspe
1415,385,21370, Campaspe
1417,99,21670, Central Goldfields
1418,10830,21890, Darebin
1421,909,22830, Greater Shepparton
1425,545,24600, Melbourne
1429,3150,25250, Moreland
1434,63,25990, Pyrenees
1436,71,26670, Towong
1437,365,26700, Wangaratta
1442,92,22250, Gannawarra
1449,165,23940, Loddon
1450,866,24410, Maroondah
1451,2554,24650, Melton
1452,734,24780, Mildura
1455,377,26080, Queenscliffe
1457,423,26170, South Gippsland
1461,1038,27350, Yarra
1464,1462,20660, Banyule
1470,150,23810, Latrobe (Vic.)
1477,57,27630, Yarriambiack
1479,1436,20570, Ballarat
1480,7008,20660, Banyule
1481,40789,20740, Bass Coast
1485,10152,22170, Frankston
1487,292,22910, Hepburn
1488,44,22980, Hindmarsh
1493,140,20260, Ararat
1494,2251,21180, Brimbank
1495,286,21270, Buloke
1500,332,22410, Glenelg
1502,1623,22670, Greater Dandenong
1504,16146,22750, Greater Geelong
1508,1496,24410, Maroondah
1509,151,24780, Mildura
1513,845,26350, Stonnington
1514,725,26430, Strathbogie
1515,433,26700, Wangaratta
1520,3076,27350, Yarra
1524,7063,21450, Cardinia
1525,1727,22170, Frankston
1533,1468,25250, Moreland
1534,2396,25340, Mornington Peninsula
1542,469,27630, Yarriambiack
1543,1475,20570, Ballarat
1550,401,22110, East Gippsland
1551,618,22110, East Gippsland
1555,1943,23430, Kingston (Vic.)
1556,10882,23670, Knox
1557,1498,23670, Knox
1558,951,23810, Latrobe (Vic.)
1563,946,25810, Northern Grampians
1564,84,25990, Pyrenees
1565,820,26350, Stonnington
1566,1606,26350, Stonnington
1569,2597,27170, Wodonga
1571,44,29499, No usual address (Vic.)
1577,82,24250, Mansfield
1579,2120,24650, Melton
1580,697,24850, Mitchell
1582,1435,25060, Moonee Valley
1587,754,26350, Stonnington
1588,2588,26350, Stonnington
1589,242,26670, Towong
1590,435,26730, Warrnambool
1591,1637,26980, Whitehorse
1592,2797,27170, Wodonga
1594,1709,20660, Banyule
1596,1734,21180, Brimbank
1598,243,21670, Central Goldfields
1600,1809,22310, Glen Eira
1603,3323,22750, Greater Geelong
1607,124,23270, Hume
1611,663,24780, Mildura
1612,370,24900, Moira
1618,267,26700, Wangaratta
1619,471,26810, Wellington
1629,1413,22620, Greater Bendigo
1632,1559,23270, Hume
1636,1385,24210, Manningham
1637,1584,24210, Manningham
1641,1810,25250, Moreland
1642,3865,25250, Moreland
1645,894,25710, Nillumbik
1646,1845,25900, Port Phillip
1647,210,26260, Southern Grampians
1653,87,29499, No usual address (Vic.)
1654,0,29799, Migratory - Offshore - Shipping (Vic.)
1668,514,25150, Moorabool
1670,226,25490, Moyne
1671,351,25710, Nillumbik
1678,0,29799, Migratory - Offshore - Shipping (Vic.)
1679,4041,20570, Ballarat
1682,121,21270, Buloke
1684,161,21830, Corangamite
1687,884,22830, Greater Shepparton
1690,250,23350, Indigo
1694,2489,27070, Whittlesea
1695,796,27450, Yarra Ranges
1697,6842,20570, Ballarat
1698,423,20740, Bass Coast
1706,348,22490, Golden Plains
1707,759,22830, Greater Shepparton
1719,465,26730, Warrnambool
1720,4758,27260, Wyndham
1726,256,21750, Colac Otway
1729,6234,22310, Glen Eira
1733,788,22910, Hepburn
1735,3893,24130, Macedon Ranges
1736,743,24650, Melton
1737,651,24850, Mitchell
1742,398,26170, South Gippsland
1750,11026,21180, Brimbank
1752,430,21370, Campaspe
1755,1879,23430, Kingston (Vic.)
1757,2865,24650, Melton
1758,129,25430, Mount Alexander
1759,377,25430, Mount Alexander
1761,485,26170, South Gippsland
1768,412,21370, Campaspe
1778,6948,24410, Maroondah
1784,433,26700, Wangaratta
1789,215,21010, Benalla
1790,389,21370, Campaspe
1792,232,21750, Colac Otway
1794,235,22410, Glenelg
1795,490,22910, Hepburn
1796,1320,23110, Hobsons Bay
1799,820,23810, Latrobe (Vic.)
1802,170,25620, Murrindindi
1806,1896,25900, Port Phillip
1808,260,26610, Swan Hill
1812,928,27260, Wyndham
1813,4,29399, Unincorporated Vic
1815,174,20110, Alpine
1816,425,20740, Bass Coast
1818,2676,21180, Brimbank
1819,11259,21180, Brimbank
1824,310,22410, Glenelg
1827,285,25060, Moonee Valley
1828,2410,25150, Moorabool
